samples,cost,reduced_scenario,probability
328,467741841.1759246,391.0,0.0
329,459253888.2452747,320.0,0.0
330,473285862.758256,275.0,0.0
331,462422243.0754586,4.0,0.0
332,456903816.65785515,221.0,0.0
333,473752592.6886663,206.0,0.0
334,476555667.3378783,206.0,0.0
335,456511921.04188627,221.0,0.0
336,471614086.6943324,275.0,0.0
337,442822974.2809897,51.0,0.0
338,471448899.67143255,275.0,0.0
339,517833804.37837166,218.0,0.0
340,466953144.9420092,391.0,0.0
341,479100840.64181525,430.0,0.0
342,487712991.17140055,147.0,0.0
343,485082337.36652493,147.0,0.0
344,473937173.76461685,206.0,0.0
345,444758899.8622423,51.0,0.0
346,466137076.868851,144.0,0.0
347,457990174.50151026,221.0,0.0
348,477072884.8646836,430.0,0.0
349,473504536.86798894,275.0,0.0
350,461530386.09151995,320.0,0.0
351,470129312.0738699,35.0,0.0
352,473713140.4642457,206.0,0.0
353,473297959.1126962,275.0,0.0
354,466059935.38607234,144.0,0.0
355,477653252.64404523,430.0,0.0
356,466080111.72165763,144.0,0.0
357,469615536.8034592,35.0,0.0
358,476884018.4584419,430.0,0.0
359,482896874.5140793,423.0,0.0
360,470461610.0959311,35.0,0.0
361,467443066.97714245,391.0,0.0
362,486255835.50114495,147.0,0.0
363,477922680.72976226,430.0,0.0
364,473232499.4352767,275.0,0.0
365,473199459.32316095,275.0,0.0
366,478712422.9205929,430.0,0.0
367,480862418.7047945,423.0,0.0
368,476008803.0722447,206.0,0.0
369,458842615.6957663,320.0,0.0
370,452100912.9515607,187.0,0.0
371,482194492.8458768,423.0,0.0
372,488538590.8554759,491.0,0.0
373,489662627.92780846,491.0,0.0
374,467660340.4341673,391.0,0.0
375,479229245.02284145,430.0,0.0
376,471104084.8197244,35.0,0.0
377,467951569.28926426,391.0,0.0
378,486687784.5858582,147.0,0.0
379,465169602.79667795,144.0,0.0
380,472480822.61893827,275.0,0.0
381,478360872.93095124,430.0,0.0
382,475980275.6680843,206.0,0.0
383,495865737.35397863,78.0,0.0
384,462845456.51460654,4.0,0.0
385,475106259.4497293,206.0,0.0
386,492738947.8896223,491.0,0.0
387,473881011.1700779,206.0,0.0
388,475849221.1593893,206.0,0.0
389,474001943.55482435,206.0,0.0
390,486193168.0250457,147.0,0.0
391,468134149.8417995,391.0,0.07
392,480047883.6853087,423.0,0.0
393,476172858.282447,206.0,0.0
394,484590331.58849597,147.0,0.0
395,466339404.09878004,144.0,0.0
396,481502804.8287864,423.0,0.0
397,491519035.0540946,491.0,0.0
398,468839312.59652615,391.0,0.0
399,476035670.86288244,206.0,0.0
400,475372746.06094307,206.0,0.0
401,455128037.05441815,221.0,0.0
402,463899020.33673936,4.0,0.0
403,481494437.7073665,423.0,0.0
404,470494707.00587016,35.0,0.0
405,468802049.4295046,391.0,0.0
406,505294874.53828526,218.0,0.0
407,463812581.58224964,4.0,0.0
408,483358234.7637119,147.0,0.0
409,465178688.78501314,144.0,0.0
410,478950570.6868159,430.0,0.0
411,476834661.2103297,430.0,0.0
412,464152094.3986539,4.0,0.0
413,467390693.8030927,391.0,0.0
414,476115762.7941911,206.0,0.0
415,471693705.2796533,275.0,0.0
416,479264857.32923776,430.0,0.0
417,483939095.1597312,147.0,0.0
418,458746615.3310807,320.0,0.0
419,477119047.55064636,430.0,0.0
420,470757968.31489104,35.0,0.0
421,472314414.4664283,275.0,0.0
422,464294514.648325,4.0,0.0
423,481497516.26649517,423.0,0.06200000000000001
424,480811292.6253917,423.0,0.0
425,492129375.52067,491.0,0.0
426,456105230.7967042,221.0,0.0
427,465615162.3055776,144.0,0.0
428,464799853.9096019,144.0,0.0
429,489767791.42400146,491.0,0.0
430,478384825.82677007,430.0,0.096
431,457095897.4850956,221.0,0.0
432,487328110.16278535,147.0,0.0
433,464307574.7793831,4.0,0.0
434,473062110.4135107,275.0,0.0
435,491681191.79247904,491.0,0.0
436,483983101.05093104,147.0,0.0
437,458212556.3012236,221.0,0.0
438,498567679.8549339,78.0,0.0
439,469268174.61511403,391.0,0.0
440,469909722.75326836,35.0,0.0
441,478091818.3249884,430.0,0.0
442,467851723.37683034,391.0,0.0
443,462339833.3753719,4.0,0.0
444,471305657.3189253,35.0,0.0
445,480386065.0712912,423.0,0.0
446,473129103.7487136,275.0,0.0
447,484663807.07984203,147.0,0.0
448,478914904.1233784,430.0,0.0
449,475391671.55971,206.0,0.0
450,479024466.96959054,430.0,0.0
451,477707353.535474,430.0,0.0
452,475839101.32414055,206.0,0.0
453,484011883.2869901,147.0,0.0
454,474196772.3558884,206.0,0.0
455,457038645.1404467,221.0,0.0
456,477666040.7867064,430.0,0.0
457,483413594.22901344,147.0,0.0
458,492000042.47213954,491.0,0.0
459,470138018.1585679,35.0,0.0
460,438424075.2103532,51.0,0.0
461,459699290.6565275,320.0,0.0
462,470856126.4965013,35.0,0.0
463,479713803.74159664,430.0,0.0
464,466815309.07183397,144.0,0.0
465,451899292.5689118,187.0,0.0
466,464390769.7178644,4.0,0.0
467,462588260.5212912,4.0,0.0
468,486170139.4935007,147.0,0.0
469,478456013.44297963,430.0,0.0
470,463443454.6002594,4.0,0.0
471,467431979.0469553,391.0,0.0
472,473813777.4678699,206.0,0.0
473,481947219.360011,423.0,0.0
474,468265260.9277534,391.0,0.0
475,480576407.9093089,423.0,0.0
476,480065227.166752,423.0,0.0
477,470141311.8765215,35.0,0.0
478,484555215.5346688,147.0,0.0
479,454097459.3390963,187.0,0.0
480,472036403.67083836,275.0,0.0
481,492167506.21468914,491.0,0.0
482,463452749.2429282,4.0,0.0
483,471204432.3610615,35.0,0.0
484,496912825.8459058,78.0,0.0
485,470863217.34344834,35.0,0.0
486,501874578.7290125,218.0,0.0
487,465864241.3034801,144.0,0.0
488,470302247.1186999,35.0,0.0
489,468716276.28157336,391.0,0.0
490,466937451.86965454,391.0,0.0
491,491265312.6582583,491.0,0.04600000000000001
492,467556007.93681943,391.0,0.0
493,489308002.23298436,491.0,0.0
494,470515284.498644,35.0,0.0
495,458976490.6304565,320.0,0.0
496,475374517.98372036,206.0,0.0
497,483333761.9595934,147.0,0.0
498,496078020.05540705,78.0,0.0
499,494509219.1996497,78.0,0.0
500,477993618.3428671,430.0,0.0
